Time,heading
274.250004086,-2.6219699382781982
274.300004087,-2.6192586421966553
274.350004088,-2.6168506145477295
274.350004088,-2.61542010307312
274.400004088,-2.614943742752075
274.50000409,-2.61456561088562
274.550004091,-2.613976240158081
274.550004091,-2.6132915019989014
274.600004091,-2.6103832721710205
274.650004092,-2.607555627822876
274.750004094,-2.605232000350952
274.800004094,-2.6028597354888916
274.800004094,-2.600407361984253
274.900004096,-2.5983541011810303
274.950004097,-2.5966718196868896
275.000004097,-2.5961015224456787
275.000004097,-2.5945241451263428
275.100004099,-2.5931622982025146
275.100004099,-2.5915582180023193
275.2000041,-2.590317964553833
275.2000041,-2.5892016887664795
275.300004102,-2.589404344558716
275.300004102,-2.5885121822357178
275.400004103,-2.5886428356170654
275.400004103,-2.5876457691192627
275.500004105,-2.5867021083831787
275.500004105,-2.584299325942993
275.600004106,-2.5832979679107666
275.650004107,-2.5819671154022217
275.700004108,-2.58188796043396
275.750004108,-2.580247640609741
275.800004109,-2.57886004447937
275.85000411,-2.5768520832061768
275.900004111,-2.5762698650360107
275.950004111,-2.574963331222534
275.950004111,-2.574834108352661
276.000004112,-2.5725839138031006
276.100004114,-2.5710346698760986
276.150004114,-2.569333791732788
276.200004115,-2.568544626235962
276.200004115,-2.5670769214630127
276.300004117,-2.566241979598999
276.350004117,-2.564049482345581
276.400004118,-2.5620105266571045
276.400004118,-2.558418035507202
276.50000412,-2.5553762912750244
276.50000412,-2.5520613193511963
276.600004121,-2.54984974861145
276.600004121,-2.54718279838562
276.700004123,-2.545828104019165
276.750004123,-2.5439040660858154
276.800004124,-2.5433781147003174
276.800004124,-2.5433037281036377
276.900004126,-2.544898748397827
276.950004126,-2.5459811687469482
277.000004127,-2.5475285053253174
277.050004128,-2.5478827953338623
277.100004129,-2.548311948776245
277.100004129,-2.5484659671783447
277.150004129,-2.550461530685425
277.250004131,-2.553997278213501
277.250004131,-2.557072877883911
277.350004132,-2.559356927871704
277.400004133,-2.559751272201538
277.400004133,-2.558373212814331
277.500004135,-2.556053400039673
277.550004135,-2.553208112716675
277.600004136,-2.548448324203491
277.600004136,-2.5427534580230713
277.700004138,-2.537111520767212
277.750004138,-2.531524419784546
277.800004139,-2.5260050296783447
277.800004139,-2.5215413570404053
277.85000414,-2.5185935497283936
277.900004141,-2.519456624984741
278.000004142,-2.5239923000335693
278.050004143,-2.528815984725952
278.100004144,-2.532616376876831
278.150004144,-2.535924196243286
278.200004145,-2.538531541824341
278.200004145,-2.538975954055786
278.300004146,-2.537330389022827
278.350004147,-2.5344512462615967
278.400004148,-2.5313355922698975
278.450004149,-2.52823805809021
278.500004149,-2.5253164768218994
278.55000415,-2.5227982997894287
278.600004151,-2.520585298538208
278.600004151,-2.518537759780884
278.700004152,-2.517150640487671
278.750004153,-2.516662359237671
278.750004153,-2.5168368816375732
278.850004155,-2.5172712802886963
278.900004155,-2.5177810192108154
278.950004156,-2.5182998180389404
279.000004157,-2.516798734664917
279.000004157,-2.5155580043792725
279.100004158,-2.516035318374634
279.150004159,-2.5175859928131104
279.20000416,-2.519808053970337
279.20000416,-2.522470235824585
279.300004161,-2.5284059047698975
279.300004161,-2.5348927974700928
279.400004163,-2.5391628742218018
279.400004163,-2.541930913925171
279.500004164,-2.5430972576141357
279.500004164,-2.542569398880005
279.600004166,-2.540315866470337
279.600004166,-2.5369837284088135
279.650004167,-2.53314471244812
279.700004167,-2.529261827468872
279.800004169,-2.5262935161590576
279.800004169,-2.5243337154388428
279.85000417,-2.5206639766693115
279.90000417,-2.51664137840271
